year,month,day,Client File Number,Food Provided for,Food Pounds,Clothing Items,Come Again,Number of Visits before,Days Since Last Visit,Avg Food Provided For Before,Avg Food Pounds Before,Avg Clothing Items Before
2015,1,6,3,3,25,13,0,0,0,0,0,0
2007,5,8,4,1,10,4,1,0,0,0,0,0
2007,6,19,4,1,10,6,1,1,41,1,10,4
2007,7,26,4,1,10,4,1,2,37,1,10,5
2007,8,30,4,1,10,5,1,3,34,1,10,4.666666666666667
2007,10,8,4,1,10,0,1,4,38,1,10,4.75
2007,11,12,4,1,10,0,1,5,34,1,10,3.8
2007,12,27,4,1,10,0,1,6,45,1,10,3.1666666666666665
2008,2,28,4,1,10,4,1,7,66,1,10,2.7142857142857144
2008,3,27,4,1,10,0,1,8,29,1,10,2.875
2008,6,26,4,1,10,0,1,9,89,1,10,2.5555555555555554
2008,8,4,4,2,15,0,1,10,38,1,10,2.3
2008,10,6,4,2,15,5,1,11,62,1.0909090909090908,10.454545454545455,2.090909090909091
2008,11,17,4,2,15,5,1,12,41,1.1666666666666667,10.833333333333334,2.3333333333333335
2008,12,8,4,2,15,5,1,13,21,1.2307692307692308,11.153846153846153,2.5384615384615383
2009,2,2,4,2,15,0,1,14,59,1.2857142857142858,11.428571428571429,2.7142857142857144
2009,3,17,4,2,15,0,1,15,45,1.3333333333333333,11.666666666666666,2.533333333333333
2009,6,29,4,0,0,4,1,16,102,1.375,11.875,2.375
2009,8,24,4,2,15,21,1,17,55,1.2941176470588236,11.176470588235293,2.4705882352941178
2009,12,29,4,2,15,0,1,18,125,1.3333333333333333,11.38888888888889,3.5
2010,11,29,4,2,20,3,1,19,335,1.368421052631579,11.578947368421053,3.3157894736842106
2011,8,15,4,2,20,14,1,20,261,1.4,12,3.3
2012,7,11,4,2,20,15,1,21,331,1.4285714285714286,12.380952380952381,3.8095238095238093
2012,10,22,4,2,20,7,1,22,101,1.4545454545454546,12.727272727272727,4.318181818181818
2013,1,14,4,2,20,15,1,23,87,1.4782608695652173,13.043478260869565,4.434782608695652
2013,2,25,4,1,15,8,1,24,41,1.5,13.333333333333334,4.875
2013,4,2,4,1,15,5,1,25,37,1.48,13.4,5
2013,6,17,4,1,15,3,1,26,75,1.4615384615384615,13.461538461538462,5
2013,7,22,4,1,15,10,1,27,35,1.4444444444444444,13.518518518518519,4.925925925925926
2013,9,25,4,1,15,6,1,28,63,1.4285714285714286,13.571428571428571,5.107142857142857
2014,3,31,4,1,15,3,1,29,191,1.4137931034482758,13.620689655172415,5.137931034482759
2014,5,27,4,1,15,10,1,30,56,1.4,13.666666666666666,5.066666666666666
2014,6,26,4,1,15,6,1,31,29,1.3870967741935485,13.709677419354838,5.225806451612903
2014,7,24,4,1,15,5,1,32,28,1.375,13.75,5.25
2014,8,25,4,1,15,6,1,33,31,1.3636363636363635,13.787878787878787,5.242424242424242
2014,10,13,4,1,15,3,1,34,48,1.3529411764705883,13.823529411764707,5.264705882352941
2014,12,8,4,1,15,6,1,35,55,1.3428571428571427,13.857142857142858,5.2
2015,5,4,4,1,15,9,1,36,151,1.3333333333333333,13.88888888888889,5.222222222222222
2015,7,27,4,1,15,6,1,37,83,1.3243243243243243,13.91891891891892,5.324324324324325
2016,5,16,4,1,15,6,1,38,294,1.3157894736842106,13.947368421052632,5.342105263157895
2016,10,25,4,1,15,4,1,39,159,1.3076923076923077,13.974358974358974,5.358974358974359
2017,4,18,4,1,15,4,0,40,178,1.3,14,5.325
2007,7,23,7,2,15,0,1,0,0,0,0,0
2007,9,4,7,2,15,7,1,1,41,2,15,0
2007,10,4,7,2,15,21,1,2,30,2,15,3.5
2007,11,7,7,2,15,9,1,3,33,2,15,9.333333333333334
2007,12,4,7,2,15,16,1,4,27,2,15,9.25
2008,2,5,7,2,15,10,1,5,66,2,15,10.6
2008,5,6,7,2,15,9,1,6,91,2,15,10.5
2008,7,8,7,2,15,2,1,7,62,2,15,10.285714285714286
2008,8,7,7,2,15,12,1,8,29,2,15,9.25
2008,10,9,7,3,20,15,1,9,62,2,15,9.555555555555555
2008,11,3,7,3,20,17,1,10,24,2.1,15.5,10.1
2008,11,6,7,3,20,25,1,11,3,2.1818181818181817,15.909090909090908,10.727272727272727
2008,12,9,7,3,20,13,1,12,33,2.25,16.25,11.916666666666666
2009,1,8,7,4,25,10,1,13,34,2.3076923076923075,16.53846153846154,12
2009,3,24,7,3,20,10,1,14,76,2.4285714285714284,17.142857142857142,11.857142857142858
2009,4,8,7,4,25,13,1,15,14,2.466666666666667,17.333333333333332,11.733333333333333
2009,9,8,7,4,25,9,1,16,150,2.5625,17.8125,11.8125
2009,10,8,7,4,25,16,1,17,30,2.6470588235294117,18.235294117647058,11.647058823529411
2009,11,9,7,0,0,25,1,18,31,2.7222222222222223,18.61111111111111,11.88888888888889
2010,1,11,7,4,25,25,1,19,67,2.5789473684210527,17.63157894736842,12.578947368421053
2010,4,15,7,4,25,14,1,20,94,2.65,18,13.2
2010,5,13,7,4,25,22,1,21,28,2.7142857142857144,18.333333333333332,13.238095238095237
2010,8,10,7,4,30,11,1,22,87,2.772727272727273,18.636363636363637,13.636363636363637
2010,10,4,7,4,30,0,1,23,54,2.8260869565217392,19.130434782608695,13.521739130434783
2010,11,8,7,0,0,16,1,24,34,2.875,19.583333333333332,12.958333333333334
2010,12,8,7,5,45,19,1,25,30,2.76,18.8,13.08
2011,1,5,7,4,30,19,1,26,32,2.8461538461538463,19.807692307692307,13.307692307692308
2011,2,10,7,4,30,25,1,27,35,2.888888888888889,20.185185185185187,13.518518518518519
2011,3,7,7,4,30,21,1,28,27,2.9285714285714284,20.535714285714285,13.928571428571429
2011,4,6,7,4,30,7,1,29,29,2.9655172413793105,20.862068965517242,14.172413793103448
2011,5,11,7,4,30,17,1,30,35,3,21.166666666666668,13.933333333333334
2011,6,9,7,3,25,5,1,31,28,3.032258064516129,21.451612903225808,14.03225806451613
2011,7,13,7,4,30,8,1,32,34,3.03125,21.5625,13.75
2011,9,7,7,4,30,5,1,33,54,3.0606060606060606,21.818181818181817,13.575757575757576
2011,12,8,7,4,30,5,1,34,91,3.088235294117647,22.058823529411764,13.323529411764707
2012,1,17,7,4,30,20,1,35,44,3.1142857142857143,22.285714285714285,13.085714285714285
2012,3,13,7,4,30,17,1,36,56,3.138888888888889,22.5,13.277777777777779
2012,4,18,7,4,30,24,1,37,35,3.1621621621621623,22.7027027027027,13.378378378378379
2012,5,9,7,4,30,6,1,38,21,3.1842105263157894,22.894736842105264,13.657894736842104
2012,8,6,7,4,30,15,1,39,87,3.2051282051282053,23.076923076923077,13.461538461538462
2014,6,18,7,4,30,2,1,40,682,3.225,23.25,13.5
2014,11,5,7,4,30,7,1,41,137,3.2439024390243905,23.414634146341463,13.21951219512195
