DATE,Rent price
1/2015,929
2/2015,934
3/2015,952
4/2015,977
5/2015,981
6/2015,"1,010"
7/2015,"1,006"
8/2015,"1,034"
9/2015,"1,053"
10/2015,"1,061"
11/2015,"1,075"
12/2015,"1,090"
1/2016,"1,056"
2/2016,"1,053"
3/2016,"1,067"
4/2016,"1,070"
5/2016,"1,068"
6/2016,"1,064"
7/2016,"1,062"
8/2016,"1,045"
9/2016,"1,047"
10/2016,"1,045"
11/2016,"1,066"
12/2016,"1,040"
1/2017,"1,029"
2/2017,"1,022"
3/2017,"1,028"
4/2017,"1,047"
5/2017,"1,062"
6/2017,"1,065"
7/2017,"1,081"
8/2017,"1,071"
9/2017,"1,053"
10/2017,"1,058"
11/2017,"1,056"
12/2017,"1,045"
1/2018,"1,056"
2/2018,"1,071"
3/2018,"1,054"
4/2018,"1,082"
5/2018,"1,127"
6/2018,"1,116"
7/2018,"1,112"
8/2018,"1,126"
9/2018,"1,145"
10/2018,"1,134"
11/2018,"1,127"
12/2018,"1,118"
1/2019,"1,140"
2/2019,"1,157"
3/2019,"1,162"
4/2019,"1,163"
