,DATE,lenth of stay,DURH537URN,Rent price
0,2015-01-01,25,5.1,929
1,2015-02-01,18,4.9,934
2,2015-03-01,28,4.8,952
3,2015-04-01,24,4.6,977
4,2015-05-01,21,5.3,981
5,2015-06-01,20,5.5,"1,010"
6,2015-07-01,16,5.6,"1,006"
7,2015-08-01,48,5.3,"1,034"
8,2015-09-01,24,4.7,"1,053"
9,2015-10-01,31,4.8,"1,061"
10,2015-11-01,23,4.7,"1,075"
11,2015-12-01,18,4.5,"1,090"
12,2016-01-01,19,4.8,"1,056"
13,2016-02-01,14,4.6,"1,053"
14,2016-03-01,28,4.5,"1,067"
15,2016-04-01,29,4.1,"1,070"
16,2016-05-01,15,4.2,"1,068"
17,2016-06-01,28,4.7,"1,064"
18,2016-07-01,39,4.7,"1,062"
19,2016-08-01,44,4.7,"1,045"
20,2016-09-01,44,4.4,"1,047"
21,2016-10-01,40,4.4,"1,045"
22,2016-11-01,43,4.3,"1,066"
23,2016-12-01,36,4.2,"1,040"
24,2017-01-01,42,4.5,"1,029"
25,2017-02-01,28,4.3,"1,022"
26,2017-03-01,50,4.0,"1,028"
27,2017-04-01,40,3.6,"1,047"
28,2017-05-01,50,3.8,"1,062"
29,2017-06-01,43,4.1,"1,065"
30,2017-07-01,43,4.3,"1,081"
31,2017-08-01,56,4.3,"1,071"
32,2017-09-01,54,3.7,"1,053"
33,2017-10-01,67,3.6,"1,058"
34,2017-11-01,74,3.8,"1,056"
35,2017-12-01,46,3.6,"1,045"
36,2018-01-01,64,3.8,"1,056"
37,2018-02-01,46,3.8,"1,071"
38,2018-03-01,37,3.5,"1,054"
39,2018-04-01,63,3.2,"1,082"
40,2018-05-01,56,3.2,"1,127"
41,2018-06-01,35,3.8,"1,116"
42,2018-07-01,58,3.7,"1,112"
43,2018-08-01,73,3.6,"1,126"
44,2018-09-01,69,3.0,"1,145"
45,2018-10-01,56,3.2,"1,134"
46,2018-11-01,77,3.2,"1,127"
47,2018-12-01,58,3.3,"1,118"
48,2019-01-01,43,4.0,"1,140"
49,2019-02-01,35,3.7,"1,157"
50,2019-03-01,52,3.7,"1,162"
51,2019-04-01,34,3.2,"1,163"
